label,text
ham,"Hey, are we still on for dinner tonight?"
ham,"Can you call me when you get a minute?"
ham,"Meeting moved to 3pm. Please confirm."
ham,"Thanks! I’ll send the document in an hour."
ham,"Happy birthday! Hope you have a great day."
ham,"I’m running 10 minutes late."
ham,"Your package is delivered at the front desk."
ham,"Let's reschedule to tomorrow morning."
ham,"Please review the attached report and share feedback."
ham,"Are you free this weekend for a quick catch-up?"
spam,"Congratulations! You have WON a $1000 gift card. Click http://win-big.example to claim now!"
spam,"URGENT: Your account will be suspended. Verify immediately at https://secure-login.example"
spam,"You are selected for a FREE prize!!! Reply YES to get it now."
spam,"Lowest price meds online. Visit www.cheap-meds.example today."
spam,"Claim your reward now!!! Limited time offer. http://reward.example"
spam,"Winner! Call +1 555-123-4567 to collect your prize."
spam,"Get cash fast, no credit check. Apply at www.fastcash.example"
spam,"Exclusive deal just for you. Act now to save big!"
spam,"Your loan is approved. Click https://loan-approve.example"
spam,"Unsubscribe? Reply STOP. Special promotion ends soon!"

